Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Home page checks,Chrome 122.0.6261.112,,,06-03-2025 01:20:00,06-03-2025 01:20:54,54.104s,PASSED
,,,,,,,
Test Cases/Verify API testing,Chrome 122.0.6261.112,,,06-03-2025 01:20:01,06-03-2025 01:20:23,21.637s,PASSED
"callTestCase(findTestCase(""Open website""), [:], STOP_ON_FAILURE)",Chrome 122.0.6261.112,,,06-03-2025 01:20:02,06-03-2025 01:20:21,18.676s,PASSED
"verifyElementVisible(findTestObject(""Page_Automation Exercise/a_API Testing""))",Chrome 122.0.6261.112,,,06-03-2025 01:20:21,06-03-2025 01:20:23,1.748s,PASSED
,,,,,,,
Test Cases/Verify Card available,Chrome 122.0.6261.112,,,06-03-2025 01:20:23,06-03-2025 01:20:40,17.134s,PASSED
"callTestCase(findTestCase(""Open website""), [:], STOP_ON_FAILURE)",Chrome 122.0.6261.112,,,06-03-2025 01:20:23,06-03-2025 01:20:39,15.325s,PASSED
"verifyElementVisible(findTestObject(""Page_Automation Exercise/a_Cart""))",Chrome 122.0.6261.112,,,06-03-2025 01:20:39,06-03-2025 01:20:40,1.239s,PASSED
,,,,,,,
Test Cases/Verify Contact Us,Chrome 122.0.6261.112,,,06-03-2025 01:20:40,06-03-2025 01:20:54,14.381s,PASSED
"callTestCase(findTestCase(""Open website""), [:], STOP_ON_FAILURE)",Chrome 122.0.6261.112,,,06-03-2025 01:20:41,06-03-2025 01:20:53,11.790s,PASSED
"verifyElementVisible(findTestObject(""Page_Automation Exercise/a_Contact us""))",Chrome 122.0.6261.112,,,06-03-2025 01:20:53,06-03-2025 01:20:54,1.817s,PASSED
